"","id","trial_number","practice_trial","made_first_choice","made_final_choice","trial_set","order","added_gamble","risky_amount","risky_probability","safe_amount","safe_probability","decoy_amount","decoy_probability","first_left_gamble","first_right_gamble","first_response","first_response_gamble","final_left_gamble","final_right_gamble","final_response","final_response_gamble","random_trial","first_reaction_time","final_reaction_time"
"2627","id0020",79,0,1,1,"safeDecoy","SRD","D",76,0.33,43,0.58,35,0.58,"S","R","f","S","S","D","f","S",0,792,2247
"2628","id0020",80,0,1,1,"riskyDecoy","DSR","R",81,0.29,31,0.76,81,0.16,"D","S","j","S","R","S","j","S",0,799,922
"2629","id0020",81,0,1,1,"riskyDecoy","RDS","S",95,0.32,40,0.76,95,0.2,"R","D","f","R","R","S","j","S",0,1666,551
"2630","id0020",82,0,1,1,"riskyDecoy","RSD","D",94,0.32,39,0.77,94,0.18,"R","S","j","S","D","S","j","S",0,1188,1346
"2631","id0020",83,0,1,1,"riskyDecoy","SDR","R",90,0.32,50,0.58,90,0.18,"S","D","f","S","R","S","j","S",0,1319,1432
"2632","id0020",84,0,1,1,"riskyDecoy","SRD","D",96,0.25,39,0.62,96,0.14,"S","R","f","S","S","D","f","S",0,819,1469
"2633","id0020",85,0,1,1,"riskyDecoy","DRS","S",82,0.42,56,0.61,82,0.3,"D","R","j","R","S","R","f","S",0,878,1336
"2634","id0020",86,0,1,1,"safeDecoy","DRS","S",76,0.34,44,0.59,38,0.59,"D","R","f","D","S","D","f","S",0,2288,2945
"2635","id0020",87,0,1,1,"safeDecoy","DSR","R",71,0.43,42,0.73,35,0.73,"D","S","j","S","R","S","j","S",0,1098,1705
"2636","id0020",88,0,1,1,"safeDecoy","RDS","S",84,0.25,27,0.79,21,0.79,"R","D","j","D","D","S","j","S",0,883,1247
"2637","id0020",89,0,1,1,"riskyDecoy","DSR","R",71,0.33,30,0.79,71,0.22,"D","S","j","S","R","S","j","S",0,864,785
"2638","id0020",90,0,1,1,"riskyDecoy","RDS","S",78,0.27,28,0.74,78,0.13,"R","D","f","R","R","S","j","S",0,1636,1637
"2639","id0020",91,0,1,1,"riskyDecoy","RSD","D",77,0.34,37,0.71,77,0.24,"R","S","j","S","S","D","f","S",0,1480,1200
"2640","id0020",92,0,1,1,"riskyDecoy","SDR","R",90,0.24,28,0.77,90,0.1,"S","D","f","S","R","S","j","S",0,1162,2518
"2641","id0020",93,0,1,1,"safeDecoy","RSD","D",86,0.35,51,0.59,46,0.59,"R","S","j","S","S","D","f","S",0,2921,964
"2642","id0020",94,0,1,1,"safeDecoy","SDR","R",71,0.41,45,0.65,35,0.65,"S","D","f","S","R","S","j","S",0,1220,1846
"2643","id0020",95,0,1,1,"riskyDecoy","SRD","D",90,0.24,27,0.79,90,0.1,"S","R","f","S","S","D","f","S",0,695,677
"2644","id0020",96,0,1,1,"riskyDecoy","DRS","S",97,0.27,44,0.59,97,0.13,"D","R","j","R","S","R","f","S",0,1215,1046
"2645","id0020",97,0,1,1,"safeDecoy","SRD","D",93,0.27,41,0.61,32,0.61,"S","R","f","S","S","D","f","S",0,1138,1443
"2646","id0020",98,0,1,1,"safeDecoy","DRS","S",74,0.43,51,0.62,42,0.62,"D","R","f","D","S","D","f","S",1,2632,2063
"2647","id0020",99,0,1,1,"riskyDecoy","DSR","R",97,0.41,52,0.77,97,0.28,"D","S","j","S","S","R","f","S",0,1187,722
"2648","id0020",100,0,1,1,"safeDecoy","DSR","R",86,0.43,50,0.74,41,0.74,"D","S","j","S","S","R","f","S",0,1924,451
"2649","id0020",101,0,1,1,"riskyDecoy","RDS","S",98,0.21,31,0.67,98,0.11,"R","D","f","R","S","R","f","S",0,1668,921
"2650","id0020",102,0,1,0,"safeDecoy","RDS","S",75,0.22,24,0.68,17,0.68,"R","D","j","D","D","S","no_response","no_gamble",0,1123,-1
"2651","id0020",103,0,1,1,"riskyDecoy","RSD","D",84,0.43,57,0.63,84,0.3,"R","S","j","S","S","D","f","S",0,2130,1362
"2652","id0020",104,0,1,1,"safeDecoy","RSD","D",86,0.21,27,0.66,21,0.66,"R","S","j","S","D","S","f","D",0,1474,712
"2653","id0020",105,0,1,1,"riskyDecoy","SDR","R",94,0.27,32,0.79,94,0.16,"S","D","f","S","R","S","j","S",0,894,1124
"2654","id0020",106,0,1,1,"riskyDecoy","SRD","D",98,0.42,53,0.77,98,0.31,"S","R","f","S","S","D","f","S",0,821,756
"2655","id0020",107,0,1,1,"riskyDecoy","DRS","S",78,0.36,40,0.71,78,0.25,"D","R","j","R","R","S","j","S",0,1343,1108
"2656","id0020",108,0,1,1,"riskyDecoy","RDS","S",93,0.25,38,0.61,93,0.11,"R","D","f","R","S","R","f","S",0,830,597
"2657","id0020",109,0,1,1,"safeDecoy","SDR","R",86,0.27,32,0.72,27,0.72,"S","D","f","S","S","R","f","S",0,2137,658
"2658","id0020",110,0,1,1,"safeDecoy","SRD","D",76,0.39,49,0.6,44,0.6,"S","R","f","S","D","S","j","S",0,910,1329
"2659","id0020",111,0,1,1,"riskyDecoy","DSR","R",79,0.33,38,0.69,79,0.21,"D","S","j","S","R","S","j","S",0,888,1026
"2660","id0020",112,0,1,1,"riskyDecoy","SRD","D",96,0.23,30,0.73,96,0.11,"S","R","f","S","D","S","j","S",0,650,1225
"2661","id0020",113,0,1,1,"riskyDecoy","RSD","D",89,0.23,31,0.66,89,0.1,"R","S","j","S","S","D","f","S",0,792,756
"2662","id0020",114,0,1,1,"safeDecoy","DRS","S",93,0.22,33,0.62,25,0.62,"D","R","f","D","D","S","f","D",0,755,1279
